,Paradigms,JudgingType
0,speak fast miss half say would nice explained complex debater lingo opponents,1
1,done public forum 4 years familiar format primarily judging based technical aspects focusing pieces offense left end teams weighing arguments based framework determine narratives rhetoric affect frameworks choose adopt judgment consider new arguments developed 2nd summary unless clearly interacting previous statements made,2
2,traditional judge likes see contentions well developed negated strong sound logical arguments enunciate clearly spreading advantageous rebuttals forsake quality arguments speed especially construct value respect mannerly conduct toward judge fellow opponent judged local national tournaments,2
3,debated two years public forum previous high school currently freshman hunter college compete moot court mock trial probably tech truth meaning going unwarranted poorly contextualized arguments see arguments properly extended speeches means warrant impact nothing bring final going matter ballot wasnt summary exception defense sticky know judges ok new weighing final personally fan weighing arguments easiest way win least seeing discussion magnitude scope probability introducing things strength link clarity impact etc usually earn ballot speaks start early possible ideally rebuttal every possible instance means addition seeing weigh arguments see weigh implicate things turns,3
4,correspondence albertyang mailcom yes without g background judging indonesia literally day ahead us judged several varsity level british asian australs parliamentary debating tournaments around southeast asia 2016 till 2021 feb 2022 judged total 4 different pf competitions us technicalities judges may put heavy emphasis presence presentation examples coherent logical explanation stepbystep analysis argument valuable spewing much example explain logic confuses use data back arguments lengthen strategy ever forget weigh arguments opponents expect twoworlds scenario youre painting case talk best case rivals worst case theres love even ifs clearcut comparison model rivals model helps judge better online manner speak clearly rap know internet problems may turn cameras happen experience lags,2
5,parent pf judge practicing attorney 25 years experience believe sound fair intelligible intelligent dialogue speed reading computer screen spreading incompatible process fast speakers assume risk could miss arguments points additionally view youve spoken fast clip view unfavorably opponent failing respond argument advanced flow arguments take note points made unmade crossfire pay careful attention astute questions answers prize ability ones feet deliver cogent response bring crossfire points would flow subsequent persuaded wellstructured logical linked arguments honestly supported key pieces team advancing contention must rejoin issue tell opposing teams rebuttal counter block work crossfire avoid questions long preambles part get weeds cards may occasion call piece teams feel free assail others use jargon keep discourse civil incivility form hurt cause enthusiasm intensity passion regarding proposition espousing welcome discourtesy aggression opponents tactical strategic thinking arguing rebutting crossfire always delightful appreciate clear analysis contention win day summary final focus final focus would akin writing rfd pros case cons opponents lastly arguments final focus must summary matter fairness happy debating,1
6,9 years experience coaching judging various forms much enjoy opportunity judge policy public forum judge policy maker truly line line evaluate arguments context policy making decision analyze opponents case points prove opponents case either without foundation weak policy position adopted speed issue speaker unintelligible speaker points reflect problem additionally understand cant flow flow cannot evaluate clarity utmost importance teams properly provide clear taglines arguments order follow accept flash drives debater professionalism courtesy appreciated,2
7,competitor awarded ballot argument effectively meets burden proof significantly disproves opponents speakers use clear concise language defining resolution terminology expected use credible sources exemplify case speakers strive provide framework structer argument,1
8,hi british parliamentary background implications 1 theory see resolution opponents 2 speak slowish spread wont flow 3 always prefer realistic impacts increasing chance nuclear warfare 0001 4 warranting generally care random authors internet cases statistics prove correlation enough win claim 5 nice opponents esp cx wont nice speaks ld specific kritik theory would much see actual resolution debated,1
9,kenansanderson gmailcom update minneapple 2021 havent judged varsity ld since even know slow lot anything invented last 15 years probably wont know strong natural inclination consequentialism framework consequentialist especially critical rob roj need explain directly bluntly filters offense otherwise ill probably understand evaluate differently would debated circuit four years general would better slightly slower much topicfocused accessible lay folks way way way less theory saddened number rounds resolved whether core issue topic bad win arguments tricked opponent technical game extensions cross applications disclosure probably needlessly specific disclosure shells probably note speaker points evaluating sort subjective skill single hard instead use speaker points reward consider educational persuasive models means speaks low try win frivolous theory short x independent voting issue youll get great speaks smart affirmative cases well thoughtout negative strategies bonus points reading plan da k etc everyone else topic bonus data nerd looking varsity rounds neg 52 pretty minor bias given sample size feel free use answer bad neg side bias justifies xxxxx arguments rounds squirrel 20 youre interested stats judge know lmk python script really fast,2
10,generally looking speaker participants broader understanding topic belief argument presented secondly attentiveness opponents arguments display understanding specifically counter,1
11,former world schools debater team canada currently apda bp debater prioritize wellwarranted arguments especially actually support logical conclusions teams claiming often case find theory annoying generally fine speaking speeds anything outrageously fast,1
12,hi name andrew current college senior high school competed lincoln douglas public forum regis havent continued since besides judging help school needed debated partner considered staunchly traditional argued resolution written spoke slowly engaged opponents arguments directly thats definitely style prefer said understand thats necessarily trajectory activity days experience ld means ill probably understand whatever throw direction specific questions ask,2
13,flow judge debated 4 years pf trinity school went toc 21 defense sticky defense flow need extend every said first summary extends defense wasnt frontlined second rebuttal second summary late bring new frontline screaming smith 16 extension something need extend warranting well flow cross something important said cross sure bring later talk fast long youre clear find people talk fast warranting suffers blippy warranting theory unless actually genuinely care issue see toc finals 2021 example bonus points jokes made speeches,3
14,hey important thing know youre going debating room much value fair thorough engagements looks making concessions necessary arguments properly analyzed logical engaging fair charitable comparisons next rude respect opponents thirdly fully cognizant fact speakers lot material cover small sure excessively speed arguments speak fast zoom calm speak clearly opponents understand finally always conscious burdens justice merely assert justify claims role fulfillment mustdo luck,1
15,new parent lay judge spread speak slowly focusing clarity quality argument quantity signpost possible keep delivery organized oriented toward firsttime listener support assertions taking care place context explain relevance beyond making case respond directly opponents arguments highlight areas contrast points believe particularly favorable cause finally present clear summation key points made made side prevail,1
16,coached since 1971 beginning manchester manchester essex 19712005 waring school since 2005 coached national champions policy public forum flow tabula rasa judge meaning believe debaters personal opinions delivery preferences determine issues arguments win grew kansas debated topeka west high school 196265 judges citizens host community conducted front citizen judges thats believe important pfd event designed would persuasive intelligent attentive member public reason feel delivery argumentation ethos debaters directly accessible audience agree dropped arguments conceded new arguments final speeches ignored love debaters directly responsive arguments side letting know point point basis flow honor debaters show courtesy opponents sense humor tell truth said expect ethically researched presented penalize points debaters sarcastic demeaning opponents biased terms race religion sexual orientation social class always happy talk decision well show flow explain assessed submitted ballot recent years spending tab rooms judging truly enjoy spend back room trying times debaters hope future naming factbased arguments important issues tim averill timaverill comcastnet 9785780540,2
17,judging public debates prioritize argumentation solid reasoning terms answering burden proof assertion claimed weigh argument based persuade comprehensiveness logical reasoning,1
18,lay parent judge recent judging experience organized presentation solid arguments articulated clearly talk fast mumble speak softly anything would harder follow give clear way may ask cards end civil use foul language automatically get 25 speaker points considerate ask question crossfire allow opponents answer questions need hear two sides wouldnt otherwise look forward hearing presentations fun,1
19,cardiologist washington dc area background parent judge keep notes however background weird topics know jargon spread speak normal pace yelling basically conversational tone speaks reflect try cross cant defend case cross generally well cross take speaker points prefer road maps stick ill probably confused respectful opponents times let opponents talk cross keep arguments generally socially acceptable,1
